NMes;Rango_T;NDiaSemana;DiaSemana;CantidadViajes
Octubre;20 a 25;Miercoles;3;515
Agosto;15 a 20;Sabado;6;822
Agosto;10 a 15;Domingo;7;940
Mayo;20 a 25;Viernes;5;46
Junio;15 a 20;Domingo;7;80
Septiembre;15 a 20;Jueves;4;622
Octubre;15 a 20;Domingo;7;589
Junio;15 a 20;Domingo;7;108
Junio;10 a 15;Lunes;1;120
Septiembre;25 a 30;Jueves;4;423
Agosto;15 a 20;Martes;2;388
Agosto;15 a 20;Sabado;6;478
Julio;10 a 15;Martes;2;74
Diciembre;25 a 30;Martes;2;400
Junio;10 a 15;Sabado;6;86
Septiembre;15 a 20;Miercoles;3;411
Septiembre;20 a 25;Lunes;1;446
Junio;15 a 20;Lunes;1;92
Agosto;20 a 25;Miercoles;3;508
Agosto;20 a 25;Martes;2;464
Junio;15 a 20;Viernes;5;132
Junio;20 a 25;Jueves;4;122
Octubre;15 a 20;Jueves;4;368
Diciembre;25 a 30;Sabado;6;263
Junio;15 a 20;Sabado;6;52
Diciembre;20 a 25;Miercoles;3;422
Julio;10 a 15;Sabado;6;318
Octubre;20 a 25;Viernes;5;546
Agosto;10 a 15;Lunes;1;442
Julio;15 a 20;Domingo;7;324
Septiembre;15 a 20;Domingo;7;219
Julio;Menos10Grados;Miercoles;3;58
Diciembre;20 a 25;Martes;2;410
Octubre;15 a 20;Martes;2;394
Julio;10 a 15;Sabado;6;150
Agosto;15 a 20;Lunes;1;590
Septiembre;15 a 20;Domingo;7;599
Agosto;15 a 20;Sabado;6;622
Octubre;20 a 25;Miercoles;3;571
Diciembre;25 a 30;Domingo;7;260
Junio;10 a 15;Lunes;1;68
Diciembre;25 a 30;Domingo;7;333
Junio;15 a 20;Miercoles;3;94
Octubre;10 a 15;Domingo;7;334
Julio;10 a 15;Miercoles;3;306
Mayo;25 a 30;Sabado;6;66
Agosto;10 a 15;Miercoles;3;438
Octubre;20 a 25;Lunes;1;813
Septiembre;15 a 20;Martes;2;540
Junio;10 a 15;Martes;2;16
Julio;10 a 15;Martes;2;116
Diciembre;25 a 30;Viernes;5;240
Septiembre;15 a 20;Sabado;6;559
Mayo;15 a 20;Martes;2;18
Octubre;15 a 20;Lunes;1;389
Julio;10 a 15;Martes;2;218
Junio;10 a 15;Domingo;7;134
Julio;10 a 15;Lunes;1;72
Agosto;15 a 20;Sabado;6;392
Diciembre;25 a 30;Lunes;1;455
Julio;10 a 15;Jueves;4;96
Octubre;20 a 25;Jueves;4;492
Diciembre;25 a 30;Miercoles;3;387
Julio;15 a 20;Sabado;6;116
Julio;10 a 15;Viernes;5;56
Mayo;20 a 25;Miercoles;3;54
Diciembre;20 a 25;Sabado;6;369
Julio;10 a 15;Miercoles;3;96
Agosto;10 a 15;Viernes;5;184
Julio;10 a 15;Jueves;4;102
Septiembre;15 a 20;Sabado;6;267
Septiembre;10 a 15;Sabado;6;752
Septiembre;10 a 15;Jueves;4;374
Agosto;15 a 20;Jueves;4;616
Diciembre;25 a 30;Viernes;5;453
Mayo;15 a 20;Lunes;1;68
Junio;10 a 15;Sabado;6;68
Junio;10 a 15;Viernes;5;76
Julio;20 a 25;Domingo;7;196
Junio;10 a 15;Viernes;5;98
Septiembre;15 a 20;Viernes;5;203
Junio;20 a 25;Martes;2;146
Septiembre;15 a 20;Martes;2;407
Mayo;20 a 25;Lunes;1;2
Diciembre;30 a 35;Lunes;1;337
Junio;10 a 15;Domingo;7;110
Diciembre;25 a 30;Domingo;7;295
Agosto;15 a 20;Viernes;5;536
Agosto;15 a 20;Domingo;7;880
Julio;10 a 15;Viernes;5;312
Agosto;20 a 25;Martes;2;428
Mayo;15 a 20;Sabado;6;60
Septiembre;15 a 20;Viernes;5;498
Agosto;10 a 15;Martes;2;372
Julio;10 a 15;Jueves;4;106
Diciembre;25 a 30;Miercoles;3;166
Agosto;15 a 20;Jueves;4;440
Junio;10 a 15;Jueves;4;228
Junio;10 a 15;Lunes;1;98
Septiembre;15 a 20;Lunes;1;362
Mayo;15 a 20;Miercoles;3;72
Agosto;15 a 20;Domingo;7;402
Junio;10 a 15;Sabado;6;102
Agosto;15 a 20;Miercoles;3;362
Mayo;15 a 20;Jueves;4;34
Septiembre;10 a 15;Miercoles;3;10
Julio;10 a 15;Viernes;5;116
Junio;20 a 25;Miercoles;3;112
Diciembre;20 a 25;Domingo;7;205
Septiembre;20 a 25;Martes;2;402
Julio;15 a 20;Martes;2;174
Octubre;20 a 25;Martes;2;509
Septiembre;15 a 20;Miercoles;3;440
Julio;10 a 15;Sabado;6;38
Julio;10 a 15;Jueves;4;258
Agosto;15 a 20;Lunes;1;382
Julio;10 a 15;Domingo;7;92
Septiembre;15 a 20;Jueves;4;456
Julio;10 a 15;Miercoles;3;82
Diciembre;20 a 25;Sabado;6;355
Diciembre;25 a 30;Jueves;4;365
Septiembre;10 a 15;Sabado;6;744
Septiembre;10 a 15;Martes;2;314
Junio;10 a 15;Martes;2;66
Mayo;10 a 15;Jueves;4;34
Agosto;15 a 20;Lunes;1;366
Septiembre;20 a 25;Miercoles;3;447
Diciembre;20 a 25;Viernes;5;414
Agosto;15 a 20;Viernes;5;530
Mayo;15 a 20;Domingo;7;36
Diciembre;20 a 25;Lunes;1;479
Octubre;10 a 15;Sabado;6;401
Julio;10 a 15;Domingo;7;118
Junio;10 a 15;Jueves;4;116
Junio;15 a 20;Martes;2;118
Septiembre;15 a 20;Viernes;5;568
Septiembre;10 a 15;Domingo;7;692
Septiembre;15 a 20;Domingo;7;710
Diciembre;30 a 35;Martes;2;291
Mayo;15 a 20;Miercoles;3;50
Agosto;15 a 20;Domingo;7;490
Diciembre;25 a 30;Martes;2;245
Diciembre;30 a 35;Miercoles;3;298
Agosto;15 a 20;Viernes;5;518
Octubre;15 a 20;Sabado;6;669
Diciembre;Masde35;Martes;2;408
Diciembre;20 a 25;Jueves;4;419
Octubre;20 a 25;Jueves;4;64
Diciembre;25 a 30;Lunes;1;334
Septiembre;15 a 20;Miercoles;3;358
Julio;10 a 15;Jueves;4;64
Mayo;15 a 20;Viernes;5;62
Mayo;15 a 20;Martes;2;46
Septiembre;10 a 15;Martes;2;254
Mayo;10 a 15;Viernes;5;60
Julio;10 a 15;Miercoles;3;160
Julio;10 a 15;Lunes;1;226
Junio;10 a 15;Lunes;1;114
Agosto;15 a 20;Sabado;6;504
Agosto;10 a 15;Jueves;4;392
Septiembre;10 a 15;Lunes;1;498
Diciembre;20 a 25;Domingo;7;492
Diciembre;25 a 30;Sabado;6;355
Julio;10 a 15;Viernes;5;80
Junio;10 a 15;Viernes;5;98
Mayo;20 a 25;Martes;2;78
Diciembre;20 a 25;Jueves;4;219
Mayo;20 a 25;Domingo;7;88
Septiembre;20 a 25;Viernes;5;459
Agosto;10 a 15;Miercoles;3;270
Mayo;15 a 20;Jueves;4;60
Junio;10 a 15;Martes;2;60
Julio;10 a 15;Viernes;5;236
Junio;10 a 15;Miercoles;3;200
Octubre;15 a 20;Viernes;5;391
Mayo;10 a 15;Domingo;7;30
Agosto;20 a 25;Jueves;4;218
Diciembre;25 a 30;Viernes;5;265
Agosto;15 a 20;Domingo;7;742
Mayo;10 a 15;Sabado;6;42
Mayo;15 a 20;Lunes;1;48
Agosto;15 a 20;Lunes;1;756
Julio;20 a 25;Lunes;1;226
Diciembre;30 a 35;Jueves;4;353
Septiembre;10 a 15;Lunes;1;401
Julio;10 a 15;Lunes;1;74
